Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,16,Sep 30 - Oct 12,21.1,20,22.2,20.0 - 22.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,16,Sep 30 - Oct 12,21.1,20,22.3,20.0 - 22.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,16,Sep 30 - Oct 12,20.1,18.9,21.3,18.9 - 21.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,16,Sep 30 - Oct 12,18.2,16.8,19.7,16.8 - 19.7,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,16,Sep 30 - Oct 12,12.9,10.5,15.7,10.5 - 15.7,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Male,2,16,Sep 30 - Oct 12,14.7,14.1,15.4,14.1 - 15.4,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Female,2,16,Sep 30 - Oct 12,23.9,23.2,24.6,23.2 - 24.6,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,16,Sep 30 - Oct 12,11.3,10.9,11.7,10.9 - 11.7,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,16,Sep 30 - Oct 12,33.4,32.2,34.5,32.2 - 34.5,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,Sep 30 - Oct 12,15.6,14.1,17.1,14.1 - 17.1,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,16,Sep 30 - Oct 12,22,21.4,22.6,21.4 - 22.6,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,16,Sep 30 - Oct 12,14,12.6,15.5,12.6 - 15.5,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,Sep 30 - Oct 12,7.7,6.3,9.2,6.3 - 9.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,Sep 30 - Oct 12,24,20.9,27.4,20.9 - 27.4,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,16,Sep 30 - Oct 12,16.4,13.8,19.3,13.8 - 19.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,2,16,Sep 30 - Oct 12,18.2,16.9,19.5,16.9 - 19.5,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,16,Sep 30 - Oct 12,21.6,20.6,22.6,20.6 - 22.6,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,16,Sep 30 - Oct 12,19.4,18.8,20,18.8 - 20.0,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,16,Sep 30 - Oct 12,26.7,23.3,30.3,23.3 - 30.3,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,16,Sep 30 - Oct 12,15.5,13.4,17.7,13.4 - 17.7,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,2,16,Sep 30 - Oct 12,19.2,16.3,22.3,16.3 - 22.3,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,16,Sep 30 - Oct 12,25,21.4,29,21.4 - 29.0,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,16,Sep 30 - Oct 12,15.3,13.5,17.3,13.5 - 17.3,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,16,Sep 30 - Oct 12,18.2,16,20.6,16.0 - 20.6,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,16,Sep 30 - Oct 12,19.2,15.9,22.8,15.9 - 22.8,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,2,16,Sep 30 - Oct 12,22.7,18.4,27.6,18.4 - 27.6,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,16,Sep 30 - Oct 12,14.2,11.3,17.5,11.3 - 17.5,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,16,Sep 30 - Oct 12,17.6,15.2,20.1,15.2 - 20.1,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,16,Sep 30 - Oct 12,19.5,16.7,22.6,16.7 - 22.6,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,16,Sep 30 - Oct 12,13,10,16.4,10.0 - 16.4,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,2,16,Sep 30 - Oct 12,20.8,17.4,24.5,17.4 - 24.5,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,2,16,Sep 30 - Oct 12,18,15.7,20.5,15.7 - 20.5,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,16,Sep 30 - Oct 12,22.5,19.5,25.6,19.5 - 25.6,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,16,Sep 30 - Oct 12,23.6,20.2,27.3,20.2 - 27.3,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,16,Sep 30 - Oct 12,20.3,17.4,23.4,17.4 - 23.4,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,16,Sep 30 - Oct 12,25.9,22.7,29.4,22.7 - 29.4,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,16,Sep 30 - Oct 12,24.3,20.8,28.1,20.8 - 28.1,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,2,16,Sep 30 - Oct 12,24.9,20.5,29.6,20.5 - 29.6,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,16,Sep 30 - Oct 12,20.6,18.1,23.1,18.1 - 23.1,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,16,Sep 30 - Oct 12,21.9,19.7,24.3,19.7 - 24.3,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,2,16,Sep 30 - Oct 12,19.4,17.1,21.8,17.1 - 21.8,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,2,16,Sep 30 - Oct 12,20.8,18.2,23.7,18.2 - 23.7,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,16,Sep 30 - Oct 12,21,17.2,25.1,17.2 - 25.1,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,16,Sep 30 - Oct 12,22.3,20,24.8,20.0 - 24.8,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,2,16,Sep 30 - Oct 12,19.3,16,23,16.0 - 23.0,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,2,16,Sep 30 - Oct 12,19,16.4,21.8,16.4 - 21.8,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,16,Sep 30 - Oct 12,16.9,13.6,20.8,13.6 - 20.8,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,16,Sep 30 - Oct 12,19,16,22.4,16.0 - 22.4,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,16,Sep 30 - Oct 12,16.7,13.9,19.8,13.9 - 19.8,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,16,Sep 30 - Oct 12,20.4,17.3,23.9,17.3 - 23.9,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,16,Sep 30 - Oct 12,18.4,15.9,21.1,15.9 - 21.1,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,16,Sep 30 - Oct 12,21.9,18.4,25.7,18.4 - 25.7,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,16,Sep 30 - Oct 12,19.4,16.5,22.6,16.5 - 22.6,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,2,16,Sep 30 - Oct 12,19.8,16.3,23.6,16.3 - 23.6,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,16,Sep 30 - Oct 12,26.2,22.3,30.3,22.3 - 30.3,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,16,Sep 30 - Oct 12,21.2,19,23.6,19.0 - 23.6,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,16,Sep 30 - Oct 12,20.1,17.4,23.1,17.4 - 23.1,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,16,Sep 30 - Oct 12,25,20.8,29.6,20.8 - 29.6,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,16,Sep 30 - Oct 12,22.4,18,27.3,18.0 - 27.3,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,16,Sep 30 - Oct 12,20.5,16.7,24.8,16.7 - 24.8,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,16,Sep 30 - Oct 12,21.5,18.7,24.6,18.7 - 24.6,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,16,Sep 30 - Oct 12,17.9,15.7,20.2,15.7 - 20.2,13.0-19.0,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,16,Sep 30 - Oct 12,23.3,20.8,26.1,20.8 - 26.1,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,16,Sep 30 - Oct 12,19.9,16.8,23.3,16.8 - 23.3,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,16,Sep 30 - Oct 12,19.1,16.7,21.6,16.7 - 21.6,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,16,Sep 30 - Oct 12,20.6,18.6,22.7,18.6 - 22.7,20.4-22.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,2,16,Sep 30 - Oct 12,32.1,26,38.7,26.0 - 38.7,22.5-32.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,16,Sep 30 - Oct 12,19.6,17.1,22.3,17.1 - 22.3,19.1-20.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,16,Sep 30 - Oct 12,18.5,14.8,22.6,14.8 - 22.6,13.0-19.0,
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,16,Sep 30 - Oct 12,9,8.7,9.4,8.7 - 9.4,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,16,Sep 30 - Oct 12,12.5,11.1,14.1,11.1 - 14.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,16,Sep 30 - Oct 12,12.4,11.5,13.4,11.5 - 13.4,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,16,Sep 30 - Oct 12,10.8,10,11.7,10.0 - 11.7,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,16,Sep 30 - Oct 12,8.3,7.6,9,7.6 - 9.0,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,16,Sep 30 - Oct 12,5.5,5,6.1,5.0 - 6.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,16,Sep 30 - Oct 12,4.3,3.5,5.1,3.5 - 5.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,16,Sep 30 - Oct 12,2.9,1.8,4.4,1.8 - 4.4,,
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,2,16,Sep 30 - Oct 12,7.4,6.9,7.9,6.9 - 7.9,,
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,2,16,Sep 30 - Oct 12,10.6,10.1,11,10.1 - 11.0,,
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,16,Sep 30 - Oct 12,4.7,4.4,5,4.4 - 5.0,,
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,16,Sep 30 - Oct 12,16.4,15.6,17.2,15.6 - 17.2,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,Sep 30 - Oct 12,7.7,6.6,8.9,6.6 - 8.9,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,16,Sep 30 - Oct 12,9.8,9.3,10.2,9.3 - 10.2,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,16,Sep 30 - Oct 12,7.8,6.7,9.1,6.7 - 9.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,Sep 30 - Oct 12,5.1,4.1,6.1,4.1 - 6.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,Sep 30 - Oct 12,11.2,9.7,12.9,9.7 - 12.9,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,16,Sep 30 - Oct 12,6.6,5,8.5,5.0 - 8.5,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,16,Sep 30 - Oct 12,5.7,5.1,6.4,5.1 - 6.4,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,16,Sep 30 - Oct 12,10,9.3,10.8,9.3 - 10.8,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,16,Sep 30 - Oct 12,11.7,11.3,12.1,11.3 - 12.1,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,16,Sep 30 - Oct 12,7.6,5.2,10.7,5.2 - 10.7,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,16,Sep 30 - Oct 12,8.9,7.4,10.6,7.4 - 10.6,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,16,Sep 30 - Oct 12,9.1,7.3,11.2,7.3 - 11.2,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,16,Sep 30 - Oct 12,6.5,4.9,8.5,4.9 - 8.5,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,16,Sep 30 - Oct 12,10.1,8.8,11.5,8.8 - 11.5,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,16,Sep 30 - Oct 12,10.4,9.1,11.7,9.1 - 11.7,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,16,Sep 30 - Oct 12,11.3,9,14,9.0 - 14.0,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,16,Sep 30 - Oct 12,7.3,5.2,9.9,5.2 - 9.9,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,16,Sep 30 - Oct 12,14.8,11.4,18.9,11.4 - 18.9,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,16,Sep 30 - Oct 12,6.8,5.4,8.4,5.4 - 8.4,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,16,Sep 30 - Oct 12,8.4,6.4,10.7,6.4 - 10.7,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,16,Sep 30 - Oct 12,9,6.2,12.5,6.2 - 12.5,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,16,Sep 30 - Oct 12,8.7,6.5,11.5,6.5 - 11.5,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,16,Sep 30 - Oct 12,8.1,6.5,9.8,6.5 - 9.8,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,16,Sep 30 - Oct 12,7,5.4,8.8,5.4 - 8.8,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,16,Sep 30 - Oct 12,6.1,4.7,7.9,4.7 - 7.9,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,16,Sep 30 - Oct 12,8.8,6.8,11.1,6.8 - 11.1,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,16,Sep 30 - Oct 12,8.1,6.4,10.1,6.4 - 10.1,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,16,Sep 30 - Oct 12,9,6.3,12.3,6.3 - 12.3,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,16,Sep 30 - Oct 12,9.4,7.2,12,7.2 - 12.0,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,16,Sep 30 - Oct 12,11.5,9.6,13.6,9.6 - 13.6,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,16,Sep 30 - Oct 12,13.1,11.3,15.1,11.3 - 15.1,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,16,Sep 30 - Oct 12,8,6.5,9.7,6.5 - 9.7,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,16,Sep 30 - Oct 12,8.7,6.8,10.9,6.8 - 10.9,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,16,Sep 30 - Oct 12,5.7,4.1,7.8,4.1 - 7.8,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,16,Sep 30 - Oct 12,8.8,7.1,10.8,7.1 - 10.8,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,16,Sep 30 - Oct 12,7.7,5.7,10.2,5.7 - 10.2,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,16,Sep 30 - Oct 12,7.2,5.5,9.3,5.5 - 9.3,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,16,Sep 30 - Oct 12,7.8,5.4,10.9,5.4 - 10.9,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,16,Sep 30 - Oct 12,9.9,7.6,12.7,7.6 - 12.7,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,16,Sep 30 - Oct 12,9.2,7.1,11.6,7.1 - 11.6,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,16,Sep 30 - Oct 12,10.9,7.5,15.1,7.5 - 15.1,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,16,Sep 30 - Oct 12,12.1,10,14.4,10.0 - 14.4,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,16,Sep 30 - Oct 12,10.7,8.5,13.2,8.5 - 13.2,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,16,Sep 30 - Oct 12,6.5,4.8,8.8,4.8 - 8.8,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,16,Sep 30 - Oct 12,9.5,7,12.6,7.0 - 12.6,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,16,Sep 30 - Oct 12,7.8,6,10,6.0 - 10.0,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,16,Sep 30 - Oct 12,11.4,9.8,13.1,9.8 - 13.1,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,16,Sep 30 - Oct 12,9.5,7.6,11.7,7.6 - 11.7,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,16,Sep 30 - Oct 12,14.3,11.2,17.8,11.2 - 17.8,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,16,Sep 30 - Oct 12,7.3,5.2,10,5.2 - 10.0,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,16,Sep 30 - Oct 12,5.9,3.9,8.5,3.9 - 8.5,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,16,Sep 30 - Oct 12,8.3,6.5,10.4,6.5 - 10.4,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,16,Sep 30 - Oct 12,6.8,5.6,8.2,5.6 - 8.2,4.6-7.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,16,Sep 30 - Oct 12,11.3,9.4,13.4,9.4 - 13.4,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,16,Sep 30 - Oct 12,12.7,9.9,15.8,9.9 - 15.8,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,16,Sep 30 - Oct 12,9.3,7.2,11.7,7.2 - 11.7,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,16,Sep 30 - Oct 12,10.5,9.2,11.9,9.2 - 11.9,10.5-14.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,16,Sep 30 - Oct 12,9.9,5.4,16.3,5.4 - 16.3,8.9-10.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,16,Sep 30 - Oct 12,7.7,6,9.6,6.0 - 9.6,7.7-8.8,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,16,Sep 30 - Oct 12,4.6,2.9,6.9,2.9 - 6.9,4.6-7.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,16,Sep 30 - Oct 12,22.6,22,23.2,22.0 - 23.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,16,Sep 30 - Oct 12,22.2,20.6,23.9,20.6 - 23.9,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,16,Sep 30 - Oct 12,24.6,23.3,25.8,23.3 - 25.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,16,Sep 30 - Oct 12,24.5,23.2,25.8,23.2 - 25.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,16,Sep 30 - Oct 12,23.6,22.4,24.8,22.4 - 24.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,16,Sep 30 - Oct 12,21.5,20.3,22.7,20.3 - 22.7,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,16,Sep 30 - Oct 12,19.4,17.9,21,17.9 - 21.0,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,16,Sep 30 - Oct 12,13.9,11.4,16.6,11.4 - 16.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,2,16,Sep 30 - Oct 12,17.3,16.5,18.1,16.5 - 18.1,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,2,16,Sep 30 - Oct 12,27.5,26.8,28.2,26.8 - 28.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,16,Sep 30 - Oct 12,13.6,13.1,14.1,13.1 - 14.1,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,16,Sep 30 - Oct 12,37.9,36.7,39.2,36.7 - 39.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,Sep 30 - Oct 12,18.4,16.7,20.2,16.7 - 20.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,16,Sep 30 - Oct 12,25.1,24.5,25.8,24.5 - 25.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,16,Sep 30 - Oct 12,17.3,15.7,19,15.7 - 19.0,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,Sep 30 - Oct 12,10.6,9.1,12.3,9.1 - 12.3,,
